BT1	58.42	57.15	90.00	BATTERY_COIN12MM	LINX_BAT-HLD-012-SMT
S1	48.51	52.25	180.00	SPDTPCM12	PCM12
S2	15.62	53.34	0.00	SPDTPCM12	PCM12
S3	5.08	66.04	0.00	BUTTON4.2X3.2	SWITCH_4.2X3.2
S4	5.08	72.52	180.00	BUTTON4.2X3.2	SWITCH_4.2X3.2
S5	43.43	10.29	90.00	BUTTON2.6X1.6	SWITCH_2.6X1.6
S6	26.92	123.83	90.00	BUTTON4.2X3.2	SWITCH_4.2X3.2
S7	26.92	110.36	90.00	BUTTON4.2X3.2	SWITCH_4.2X3.2
SD1	8.91	89.38	90.00	MICROSDCD	MICROSD_CD
U1	50.16	22.10	180.00	TLV61220DBV	DBV_R-PDSO-G6
U10	24.64	97.28	270.00	TPS22917DBV	DBV_R-PDSO-G6
U11	46.10	47.88	270.00	SN74AUP1G04YFP	DSBGD_4
U12	17.02	57.15	90.00	SN74AUP1G04YFP	DSBGD_4
U13	34.04	33.40	90.00	SN74AUP1G04YFP	DSBGD_4
U14	47.63	47.88	180.00	SN74AUP2G08DQE	DQE_R-PX2SON-N8
U15	15.49	57.15	0.00	SN74AUP2G08DQE	DQE_R-PX2SON-N8
U16	30.86	19.05	0.00	SN74AUP2G08DQE	DQE_R-PX2SON-N8
U17	53.85	42.04	0.00	MIC2544MSOP	MSOP_8
U18	53.85	45.34	0.00	MIC2544MSOP	MSOP_8
U19	10.79	60.33	180.00	MIC2544MSOP	MSOP_8
U2	28.96	38.35	90.00	TPS62822DLC	DLC_8
U20	10.79	56.90	180.00	MIC2544MSOP	MSOP_8
U21	28.07	19.05	0.00	TPS22917DBV	DBV_R-PDSO-G6
U22	23.88	19.05	0.00	TPS22917DBV	DBV_R-PDSO-G6
U23	9.11	11.14	0.00	FT231X-Q	QFN20
U24	35.31	61.72	90.00	SN74LVC1G3157DRL	DRL_R-PDSO-N6
U25	13.34	78.49	0.00	SN74AUP3G34DCU	DCU_(R-PDSO-G8)
U26	35.43	58.55	180.00	TXS0102DQM	DQM_R-PX2SON-N8
U27	9.91	30.86	90.00	TXS0104RGY	RGY_S-PVQFN-N14
